Basis-of-record,Catalogue-number,Collection-code,Institution-code,Collector,Collector-number,Date-collected,Field-notes,Field-number,Type-status,Taxonomic-name,Identification-qualifier,Identified-by,Date-identified,Count,GenBank-number-s-,Lifestage,Remarks,Sex,Location,Specimen,Image,FileImage
Living Specimen,DS110 (1),,,None,None,None,None,None,None,"<a href=/taxonomy/term/10675"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Myolaimus goodeyorum</a>""",None,None,None,None,None,adult,None,Male,None,"<a href=/node/745"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/Male%202.mp4,./Output/024-Male%202.mp4
Living Specimen,DS110 (1),,,None,None,None,None,None,None,"<a href=/taxonomy/term/10675"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Myolaimus goodeyorum</a>""",None,None,None,None,None,adult,None,Male,None,"<a href=/node/745"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/Male%203.mp4,./Output/025-Male%203.mp4
Living Specimen,DS110 (2),,,None,None,None,None,None,None,"<a href=/taxonomy/term/10675"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Myolaimus goodeyorum</a>""",None,None,None,None,None,Adult,None,Female,None,"<a href=/node/744"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/M.%20goodeyorum%20%281%29.mp4,./Output/026-M.%20goodeyorum%20%281%29.mp4
Living Specimen,DS110 (2),,,None,None,None,None,None,None,"<a href=/taxonomy/term/10675"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Myolaimus goodeyorum</a>""",None,None,None,None,None,Adult,None,Female,None,"<a href=/node/744"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/M.%20goodeyorum%20%282%29_0.mp4,./Output/027-M.%20goodeyorum%20%282%29_0.mp4
Living Specimen,DS110 (2),,,None,None,None,None,None,None,"<a href=/taxonomy/term/10675"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Myolaimus goodeyorum</a>""",None,None,None,None,None,Adult,None,Female,None,"<a href=/node/744"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/M.%20goodeyorum%20%283%29_0.mp4,./Output/028-M.%20goodeyorum%20%283%29_0.mp4
Preserved Specimen,Paratylenchus ILVO 1~2~3,,,None,None,None,None,None,None,None,None,None,None,None,None,adult," <p>similar to Pratylenchus dianthus but mo<img class=Image img__fid__848 img__view_mode__file_styles_original attr__format__file_styles_original"" src=""http://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/paratylenchus%20letuce%20ILVO_1.pdf"" typeof=""Image"" />lecularly different</p> """,Female,None,"<a href=/node/748"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/paratylenchus%20letuce%20ILVO.pdf,./Output/029-paratylenchus%20letuce%20ILVO.pdf
Occurrence,T103,,,None,T103,None,None,None,None,"<a href=/taxonomy/term/10647"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Pratylenchus flakkensis</a>""",None,None,None,None,None,None,None,None,None,"<a href=/node/674"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/T103%20Pratylenchus%20flakkensis.zip,./Output/030-T103%20Pratylenchus%20flakkensis.zip
Occurrence,T103a,,,None,T103a,None,None,None,None,"<a href=/taxonomy/term/10660"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Pratylenchus sp. 4</a>""",None,None,None,None,None,None,None,None,None,"<a href=/node/627"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/T103a%20Pratylenchus%20sp.%204.zip,./Output/031-T103a%20Pratylenchus%20sp.%204.zip
Occurrence,T104,,,None,T104,None,None,None,None,"<a href=/taxonomy/term/10647"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Pratylenchus flakkensis</a>""",None,None,None,None,None,None,None,None,None,"<a href=/node/675"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/T104%20Pratylenchus%20flakkensis.zip,./Output/032-T104%20Pratylenchus%20flakkensis.zip
Occurrence,T104a,,,None,T104a,None,None,None,None,"<a href=/taxonomy/term/10660"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Pratylenchus sp. 4</a>""",None,None,None,None,None,None,None,None,None,"<a href=/node/628"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/T104a%20Pratylenchus%20sp.%204.zip,./Output/033-T104a%20Pratylenchus%20sp.%204.zip
Occurrence,T105,,,None,T105,None,None,None,None,"<a href=/taxonomy/term/10647"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Pratylenchus flakkensis</a>""",None,None,None,None,None,None,None,None,None,"<a href=/node/676"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/T105%20Pratylenchus%20flakkensis.zip,./Output/034-T105%20Pratylenchus%20flakkensis.zip
Occurrence,T106,,,None,T106,None,None,None,None,"<a href=/taxonomy/term/10648"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Pratylenchus goodeyi</a>""",None,None,None,None,None,None,None,None,None,"<a href=/node/684"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/T106%20Pratylenchus%20goodeyi.zip,./Output/035-T106%20Pratylenchus%20goodeyi.zip
Occurrence,T107,,,None,T107,None,None,None,None,"<a href=/taxonomy/term/10648"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Pratylenchus goodeyi</a>""",None,None,None,None,None,None,None,None,None,"<a href=/node/685"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/T107%20Pratylenchus%20goodeyi.zip,./Output/036-T107%20Pratylenchus%20goodeyi.zip
Occurrence,T108,,,None,T108,None,None,None,None,"<a href=/taxonomy/term/10648"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Pratylenchus goodeyi</a>""",None,None,None,None,None,None,None,None,None,"<a href=/node/686"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/T108%20Pratylenchus%20goodeyi.zip,./Output/037-T108%20Pratylenchus%20goodeyi.zip
Occurrence,T130,,,None,T130,None,None,None,None,"<a href=/taxonomy/term/10649"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Pratylenchus pratensis</a>""",None,None,None,None,None,None,None,None,None,"<a href=/node/697"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/T130%20Pratylenchus%20pratensis.zip,./Output/038-T130%20Pratylenchus%20pratensis.zip
